Tiempo1,Voltaje,,Tiempo2,Corriente
0,"0,442402",,0,"2,01092"
"0,1","0,442402",,"0,1","2,01092"
"0,2","0,442472",,"0,2","2,01123"
"0,3","0,436106",,"0,3","1,9823"
"0,4","0,398295",,"0,4","1,81043"
"0,5","0,385817",,"0,5","1,75371"
"0,6","0,386175",,"0,6","1,75534"
"0,7","0,38627",,"0,7","1,75577"
"0,8","0,38626",,"0,8","1,75573"
"0,9","0,388897",,"0,9","1,76771"
1,"0,394571",,1,"1,79351"
"1,1","0,410637",,"1,1","1,86653"
"1,2","0,420969",,"1,2","1,9135"
"1,3","0,430343",,"1,3","1,9561"
"1,4","0,450655",,"1,4","2,04843"
"1,5","0,473416",,"1,5","2,15189"
"1,6","0,479113",,"1,6","2,17779"
"1,7","0,483112",,"1,7","2,19596"
"1,8","0,492134",,"1,8","2,23697"
"1,9","0,500494",,"1,9","2,27497"
2,"0,504484",,2,"2,29311"
"2,1","0,507844",,"2,1","2,30838"
"2,2","0,5131",,"2,2","2,33227"
"2,3","0,528844",,"2,3","2,40384"
"2,4","0,546308",,"2,4","2,48322"
"2,5","0,550953",,"2,5","2,50433"
"2,6","0,552517",,"2,6","2,51144"
"2,7","0,556028",,"2,7","2,5274"
"2,8","0,564166",,"2,8","2,56439"
"2,9","0,566883",,"2,9","2,57674"
3,"0,567338",,3,"2,57881"
"3,1","0,571865",,"3,1","2,59938"
"3,2","0,586252",,"3,2","2,66478"
"3,3","0,593261",,"3,3","2,69664"
"3,4","0,597881",,"3,4","2,71764"
"3,5","0,620221",,"3,5","2,81919"
"3,6","0,648092",,"3,6","2,94587"
"3,7","0,675177",,"3,7","3,06899"
"3,8","0,700856",,"3,8","3,18571"
"3,9","0,742219",,"3,9","3,37372"
4,"0,775357",,4,"3,52435"
"4,1","0,798189",,"4,1","3,62813"
"4,2","0,821846",,"4,2","3,73567"
"4,3","0,82959",,"4,3","3,77086"
"4,4","0,850258",,"4,4","3,86481"
"4,5","0,87744",,"4,5","3,98836"
"4,6","0,884129",,"4,6","4,01877"
"4,7","0,887607",,"4,7","4,03458"
"4,8","0,918895",,"4,8","4,1768"
"4,9","0,987106",,"4,9","4,48685"
5,"1,02992",,5,"4,68144"
"5,1","1,05674",,"5,1","4,80334"
"5,2","1,14353",,"5,2","5,19785"
"5,3","1,23188",,"5,3","5,59946"
"5,4","1,3329",,"5,4","6,05862"
"5,5","1,43301",,"5,5","6,51369"
"5,6","1,49262",,"5,6","6,78463"
"5,7","1,50374",,"5,7","6,83519"
"5,8","1,53464",,"5,8","6,97564"
"5,9","1,56718",,"5,9","7,12357"
6,"1,6616",,6,"7,55272"
"6,1","1,92034",,"6,1","8,7288"
"6,2","2,1775",,"6,2","9,89771"
"6,3","2,27407",,"6,3","10,3367"
"6,4","2,28512",,"6,4","10,3869"
"6,5","2,29873",,"6,5","10,4488"
"6,6","2,27726",,"6,6","10,3512"
"6,7","2,14315",,"6,7","9,74159"
"6,8","1,65246",,"6,8","7,51118"
"6,9","1,48426",,"6,9","6,74662"
7,"1,48613",,7,"6,75513"
"7,1","1,49261",,"7,1","6,78458"
"7,2","1,52043",,"7,2","6,91105"
"7,3","1,6828",,"7,3","7,64907"
"7,4","1,86756",,"7,4","8,48892"
"7,5","2,09903",,"7,5","9,54104"
"7,6","2,24613",,"7,6","10,2097"
"7,7","2,53374",,"7,7","11,517"
"7,8","2,79622",,"7,8","12,7101"
"7,9","3,0091",,"7,9","13,6777"
8,"3,62801",,8,"16,491"
"8,1","4,47852",,"8,1","20,3569"
"8,2","5,28031",,"8,2","24,0014"
"8,3","5,53137",,"8,3","25,1426"
"8,4","5,53208",,"8,4","25,1458"
"8,5","5,51642",,"8,5","25,0747"
"8,6","5,48801",,"8,6","24,9455"
"8,7","5,03769",,"8,7","22,8986"
"8,8","3,86376",,"8,8","17,5625"
"8,9","3,79229",,"8,9","17,2377"
9,"3,37165",,9,"15,3257"
"9,1","3,14642",,"9,1","14,3019"
"9,2","3,16681",,"9,2","14,3946"
"9,3","3,18277",,"9,3","14,4671"
"9,4","3,28297",,"9,4","14,9226"
"9,5","3,53045",,"9,5","16,0475"
"9,6","3,7779",,"9,6","17,1723"
"9,7","4,11409",,"9,7","18,7004"
"9,8","4,38041",,"9,8","19,911"
"9,9","4,48654",,"9,9","20,3934"
10,"4,51894",,10,"20,5406"
